k_modes	delta	sqrt_delta	power	noise
          0.062	      60274.497	        245.509	 5008740552.654	      46545.905
          0.142	     780754.588	        883.603	 5433016599.713	     258401.109
          0.177	     990472.728	        995.225	 3528896898.225	     473117.681
          0.212	    1703883.861	       1305.329	 3513117689.102	     751539.527
          0.248	    1298395.922	       1139.472	 1685852147.060	     965878.579
          0.283	    3491622.210	       1868.588	 3037132556.295	    1388877.865
          0.319	    3761224.762	       1939.388	 2297767983.616	    1941315.607
          0.354	    8768788.173	       2961.214	 3905208257.914	    2648044.487
          0.389	   48414761.179	       6958.072	16199608753.777	    3496031.093
          0.425	  604371545.292	      24583.969	155763320804.794	    4512386.754
          0.460	  378749862.395	      19461.497	76776351765.251	    5716217.809
          0.495	   79374430.589	       8909.233	12882544808.182	    7116132.495
          0.531	   33237527.159	       5765.200	 4385914504.532	    8729009.280
          0.566	    7518165.557	       2741.927	  817442563.645	   10584349.342
          0.602	    3823629.957	       1955.410	  346604717.403	   12656292.653
          0.637	  -10030105.017		 -765937623.541	   15025610.100
          0.672	   30937935.734	       5562.188	 2008796865.629	   17783288.485
          0.708	   46226514.865	       6799.008	 2573396497.301	   22140053.001
          0.743	   36409654.539	       6034.041	 1750911754.532	   27919054.189
          0.779	   23643249.180	       4862.432	  988882612.909	   27057658.312
          0.814	  184490559.179	      13582.730	 6752993000.449	   30916316.013
          0.849	 2502528833.096	      50025.282	80621534241.536	   35004830.745
          0.885	 5379538009.185	      73345.334	153331250933.223	   39386121.450
          0.920	 1079618521.699	      32857.549	27356172115.169	   44085642.266
          0.956	  272699064.671	      16513.602	 6170174592.964	   49115925.730
          0.991	  196724744.968	      14025.860	 3991088496.394	   54543434.214
          1.026	  156745750.605	      12519.814	 2862258657.917	   60461640.606
          1.062	  -14016567.478		 -231198157.508	   66679566.417
          1.097	 -102775947.171		-1536428212.854	   73410407.648
          1.132	   75626064.465	       8696.325	 1027843220.997	   80753937.185
          1.168	  197979934.249	      14070.534	 2453489159.288	   88465023.661
          1.203	  166316112.476	      12896.360	 1884524852.440	   97642476.836
          1.239	  385597807.628	      19636.645	 4005292653.503	  135093552.225
          1.274	 1019050499.376	      31922.570	 9727284018.817	  113693294.540
          1.309	 6541117947.667	      80877.178	57510849983.405	  123273379.293
          1.345	 3535004840.577	      59455.907	28690743871.076	  133081326.550
          1.380	  597671542.849	      24447.322	 4487153948.386	  143675924.601
          1.416	  408038218.895	      20199.956	 2839374829.254	  154667859.007
          1.451	  439288429.817	      20959.209	 2838570707.178	  166668841.690
          1.486	  241692257.339	      15546.455	 1452834245.080	  179212914.010
          1.522	  394638828.583	      19865.519	 2210546337.913	  192348708.790
          1.557	  327061424.541	      18084.840	 1709937613.098	  206033922.987
          1.593	 -559688438.821		-2735377692.034	  220384443.934
          1.628	 -577904549.605		-2644177953.760	  235435705.866
          1.663	  488762000.443	      22107.962	 2096580275.130	  251734610.786
          1.699	 2618998622.516	      51176.153	10546753254.737	  269322227.926
          1.734	15906337922.171	     126120.331	60212796924.654	  331510377.478
          1.769	10637962290.838	     103140.498	37901368763.032	  327243736.462
          1.805	 3041991226.097	      55154.249	10213004626.583	  320486801.684

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
