k_modes	delta	sqrt_delta	power	noise
          0.062	     136722.488	        369.760	11361479748.151	      46545.905
          0.142	    2143128.022	       1463.943	14913329093.155	     258401.109
          0.177	    3645445.289	       1909.305	12988142127.986	     473117.681
          0.212	    6632145.669	       2575.295	13674352345.865	     751539.527
          0.248	   10666557.580	       3265.970	13849580624.495	     965878.579
          0.283	   18891670.262	       4346.455	16432621669.159	    1388877.865
          0.319	   24619444.189	       4961.798	15040252632.176	    1941315.607
          0.354	   41327817.896	       6428.672	18405477762.942	    2648044.487
          0.389	  552975436.906	      23515.430	185025919992.969	    3496031.093
          0.425	 8136359675.919	      90201.772	2096965703060.681	    4512386.754
          0.460	 3783153689.502	      61507.347	766882756366.688	    5716217.809
          0.495	  261747230.613	      16178.604	42481821938.972	    7116132.495
          0.531	  164788703.055	      12837.005	21744973970.288	    8729009.280
          0.566	  126199882.689	      11233.872	13721586051.534	   10584349.342
          0.602	  135541797.693	      11642.242	12286603834.192	   12656292.653
          0.637	  143498218.896	      11979.074	10958079160.887	   15025610.100
          0.672	  248929342.401	      15777.495	16162955637.495	   17783288.485
          0.708	  344621946.372	      18563.996	19184853374.377	   22140053.001
          0.743	  435351995.384	      20865.090	20935736296.396	   27919054.189
          0.779	  926866289.842	      30444.479	38766328245.681	   27057658.312
          0.814	 3765748639.170	      61365.696	137839433708.270	   30916316.013
          0.849	36888627872.768	     192064.124	1188404998910.108	   35004830.745
          0.885	84092015912.317	     289986.234	2396847828069.295	   39386121.450
          0.920	10499905318.988	     102469.046	266054362097.361	   44085642.266
          0.956	 3657551432.149	      60477.694	82756906212.045	   49115925.730
          0.991	 2545692579.991	      50454.857	51646194143.060	   54543434.214
          1.026	 1585801067.424	      39822.118	28957549518.540	   60461640.606
          1.062	 1146180365.600	      33855.286	18905826203.455	   66679566.417
          1.097	 1079306787.971	      32852.805	16134878296.074	   73410407.648
          1.132	 1402755966.060	      37453.384	19065030298.985	   80753937.185
          1.168	 2175394891.702	      46641.129	26958831985.644	   88465023.661
          1.203	 3940852039.840	      62776.206	44653722951.340	   97642476.836
          1.239	12782615576.104	     113060.230	132775952680.987	  135093552.225
          1.274	20292632392.464	     142452.211	193702077465.010	  113693294.540
          1.309	105799576150.935	     325268.468	930211563375.780	  123273379.293
          1.345	51116727020.724	     226090.086	414872677300.164	  133081326.550
          1.380	10925703364.831	     104526.089	82027182955.269	  143675924.601
          1.416	 7630358327.651	      87351.922	53096612940.865	  154667859.007
          1.451	 6029303074.430	      77648.587	38959831240.997	  166668841.690
          1.486	 4561792195.747	      67541.041	27421349752.360	  179212914.010
          1.522	 4585792525.592	      67718.480	25687048865.118	  192348708.790
          1.557	 4812755705.003	      69374.028	25161976879.979	  206033922.987
          1.593	 5909082021.335	      76870.554	28879587321.154	  220384443.934
          1.628	 9409407917.959	      97002.103	43052350066.477	  235435705.866
          1.663	18988911014.299	     137800.258	81454319776.668	  251734610.786
          1.699	45965725597.371	     214396.188	185104780843.585	  269322227.926
          1.734	226794433432.033	     476229.392	858521127282.904	  331510377.478
          1.769	236606959479.828	     486422.614	842992988503.876	  327243736.462
          1.805	39283246869.511	     198200.017	131887290990.059	  320486801.684

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
