k_modes	delta	sqrt_delta	power	noise
          0.062	      89249.751	        298.747	 7416550465.516	      46545.905
          0.142	    2230357.632	       1493.438	15520331510.414	     258401.109
          0.177	    3185947.310	       1784.922	11351023865.498	     473117.681
          0.212	    3929902.467	       1982.398	 8102788101.550	     751539.527
          0.248	    2834270.669	       1683.529	 3680049523.107	     965878.579
          0.283	    7098993.657	       2664.394	 6174947761.758	    1388877.865
          0.319	    9081008.502	       3013.471	 5547674470.993	    1941315.607
          0.354	    8471364.354	       2910.561	 3772749595.017	    2648044.487
          0.389	   66246897.456	       8139.220	22166252477.666	    3496031.093
          0.425	  599954087.463	      24493.960	154624819321.196	    4512386.754
          0.460	  412878383.359	      20319.409	83694541290.546	    5716217.809
          0.495	  202962106.775	      14246.477	32940940999.304	    7116132.495
          0.531	  135152592.673	      11625.515	17834290550.266	    8729009.280
          0.566	   71162923.673	       8435.812	 7737472967.935	   10584349.342
          0.602	   49521507.248	       7037.152	 4489029592.201	   12656292.653
          0.637	   34534136.550	       5876.575	 2637160272.634	   15025610.100
          0.672	   29675625.394	       5447.534	 1926835190.016	   17783288.485
          0.708	   42085439.190	       6487.329	 2342865823.158	   22140053.001
          0.743	   86742625.558	       9313.572	 4171384887.632	   27919054.189
          0.779	  140405488.198	      11849.282	 5872481611.031	   27057658.312
          0.814	  222414400.510	      14913.564	 8141136850.172	   30916316.013
          0.849	 2393158579.916	      48919.920	77098059308.844	   35004830.745
          0.885	 5913333164.587	      76898.200	168545843483.765	   39386121.450
          0.920	 2010360861.388	      44837.048	50940009487.017	   44085642.266
          0.956	 1102725721.523	      33207.314	24950618140.740	   49115925.730
          0.991	  610408923.766	      24706.455	12383780363.449	   54543434.214
          1.026	  114960429.802	      10721.960	 2099237039.903	   60461640.606
          1.062	     464104.921	        681.252	    7655241.047	   66679566.417
          1.097	   89277766.355	       9448.691	 1334639891.769	   73410407.648
          1.132	   19737954.001	       4442.742	  268260980.646	   80753937.185
          1.168	  132437438.094	      11508.147	 1641246219.615	   88465023.661
          1.203	  277790542.174	      16667.050	 3147639592.486	   97642476.836
          1.239	  561220754.130	      23690.098	 5829528381.758	  135093552.225
          1.274	  985911640.946	      31399.230	 9410959078.878	  113693294.540
          1.309	 6203949449.407	      78765.154	54546395424.154	  123273379.293
          1.345	 3868887465.766	      62200.382	31400596138.419	  133081326.550
          1.380	 1627087657.896	      40337.175	12215727678.282	  143675924.601
          1.416	  865733444.036	      29423.349	 6024292911.826	  154667859.007
          1.451	  536044753.960	      23152.640	 3463785597.459	  166668841.690
          1.486	   30897999.884	       5558.597	  185730700.810	  179212914.010
          1.522	 -344987787.644		-1932428933.414	  192348708.790
          1.557	 -421812614.822		-2205314358.842	  206033922.987
          1.593	  539540808.897	      23228.018	 2636909734.476	  220384443.934
          1.628	   -2328188.569		  -10652528.850	  235435705.866
          1.663	  286172122.636	      16916.623	 1227556207.453	  251734610.786
          1.699	 3531463029.984	      59426.114	14221263381.075	  269322227.926
          1.734	18855668725.422	     137315.945	71377369033.503	  331510377.478
          1.769	12872476002.379	     113456.935	45862585946.525	  327243736.462
          1.805	 5972312195.257	      77280.736	20051094019.691	  320486801.684

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
