k_modes	delta	sqrt_delta	power	noise
          0.062	     204976.512	        452.743	17033309737.352	      46545.905
          0.142	    3258131.448	       1805.029	22672274367.801	     258401.109
          0.177	    4827228.471	       2197.095	17198647765.072	     473117.681
          0.212	    7509239.966	       2740.299	15482771077.084	     751539.527
          0.248	   11138591.031	       3337.453	14462474267.617	     965878.579
          0.283	   18630645.079	       4316.323	16205573026.832	    1388877.865
          0.319	   26879572.333	       5184.551	16420986413.119	    1941315.607
          0.354	   37162067.665	       6096.070	16550247384.052	    2648044.487
          0.389	  540454583.705	      23247.679	180836434840.290	    3496031.093
          0.425	 7680473553.459	      87638.311	1979471196748.502	    4512386.754
          0.460	 3457682467.470	      58802.062	700906513169.640	    5716217.809
          0.495	  384729996.577	      19614.535	62442040631.595	    7116132.495
          0.531	  247520812.917	      15732.794	32662030431.660	    8729009.280
          0.566	  184325485.700	      13576.652	20041524283.733	   10584349.342
          0.602	  205017923.297	      14318.447	18584481284.285	   12656292.653
          0.637	  194005054.727	      13928.570	14814976545.809	   15025610.100
          0.672	  230206453.872	      15172.556	14947280483.379	   17783288.485
          0.708	  323854167.645	      17995.949	18028726221.201	   22140053.001
          0.743	  485192367.271	      22027.083	23332520723.233	   27919054.189
          0.779	 1076523131.791	      32810.412	45025749181.350	   27057658.312
          0.814	 3834308431.921	      61921.793	140348959413.110	   30916316.013
          0.849	35956261786.202	     189621.364	1158367868716.187	   35004830.745
          0.885	80256282607.063	     283295.398	2287519148740.957	   39386121.450
          0.920	10770389767.898	     103780.488	272908096995.531	   44085642.266
          0.956	 4258955527.282	      65260.674	96364463951.089	   49115925.730
          0.991	 2753903699.270	      52477.650	55870314515.456	   54543434.214
          1.026	 1465711461.129	      38284.611	26764651057.081	   60461640.606
          1.062	 1174585223.761	      34272.222	19374353956.880	   66679566.417
          1.097	 1293948057.378	      35971.490	19343614493.978	   73410407.648
          1.132	 1264764167.402	      35563.523	17189566650.225	   80753937.185
          1.168	 1978000948.379	      44474.723	24512604786.470	   88465023.661
          1.203	 3785873088.826	      61529.449	42897659269.701	   97642476.836
          1.239	12109810250.538	     110044.583	125787369824.915	  135093552.225
          1.274	19637153393.513	     140132.628	187445242896.882	  113693294.540
          1.309	102429844931.797	     320046.629	900584195672.159	  123273379.293
          1.345	48257928920.321	     219676.874	391670150634.205	  133081326.550
          1.380	11382707285.551	     106689.771	85458242994.562	  143675924.601
          1.416	 8212915766.775	      90625.139	57150397249.901	  154667859.007
          1.451	 6066848522.455	      77889.977	39202440428.308	  166668841.690
          1.486	 4133111873.488	      64289.283	24844513161.781	  179212914.010
          1.522	 3354923483.565	      57921.701	18792407851.019	  192348708.790
          1.557	 3694929779.511	      60785.934	19317776214.687	  206033922.987
          1.593	 5776705040.992	      76004.638	28232618375.840	  220384443.934
          1.628	 9533004056.185	      97637.104	43617858997.133	  235435705.866
          1.663	17949373239.178	     133975.271	76995146615.504	  251734610.786
          1.699	46504440795.793	     215648.883	187274196368.851	  269322227.926
          1.734	231657345474.617	     481307.953	876929483544.117	  331510377.478
          1.769	228207417449.908	     477710.600	813066755338.829	  327243736.462
          1.805	42726681220.622	     206704.333	143448077443.854	  320486801.684

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
