k_modes	delta	sqrt_delta	power	noise
          0.062	    3954710.662	       1988.645	328631855702.973	      38079.064
          0.142	   58145602.288	       7625.326	404616286806.291	     211472.319
          0.177	  107999743.653	      10392.293	384785920329.572	     387185.228
          0.212	  179683701.086	      13404.615	370477121912.300	     615580.844
          0.248	  266814234.970	      16334.449	346434660968.993	     791042.116
          0.283	  471219074.068	      21707.581	409882485775.386	    1137533.175
          0.319	  918472844.028	      30306.317	561103796808.373	    1589826.142
          0.354	 1658457774.931	      40724.167	738599549919.828	    2168312.870
          0.389	 2645615568.315	      51435.548	885224590107.762	    2862370.529
          0.425	 8978210903.003	      94753.422	2313934128817.292	    3694781.723
          0.460	 6020212142.025	      77590.026	1220356681305.060	    4680788.202
          0.495	 4684226081.732	      68441.406	760254302823.547	    5827257.848
          0.531	 4399844645.417	      66331.325	580588993748.667	    7148286.454
          0.566	 3638101422.608	      60316.676	395567100941.374	    8667406.133
          0.602	 3892148376.850	      62387.085	352815780698.253	   10364427.314
          0.637	 4073398622.168	      63823.182	311060477955.831	   12305968.829
          0.672	 4721351366.196	      68712.090	306556840366.638	   14563824.766
          0.708	 6352220308.966	      79700.817	353623489485.578	   18126991.699
          0.743	 9951564311.493	      99757.528	478562929240.961	   22863204.620
          0.779	13105030602.407	     114477.206	548119964627.660	   22155793.603
          0.814	19469427710.416	     139532.891	712648439227.606	   25315532.418
          0.849	45993715865.876	     214461.455	1481734751478.998	   28663132.130
          0.885	88006139943.328	     296658.288	2508410853176.281	   32250020.366
          0.920	31921527316.918	     178665.966	808851254317.323	   36097873.272
          0.956	29346329802.981	     171307.705	663999265144.011	   40217938.050
          0.991	23109255774.486	     152017.288	468833165328.583	   44662475.846
          1.026	18073800867.314	     134438.837	330036972704.122	   49508615.434
          1.062	16983426992.822	     130320.478	280135420830.700	   54601493.902
          1.097	16934952901.576	     130134.365	253165649528.087	   60113315.169
          1.132	16565642201.439	     128707.584	225145697565.452	   66126173.219
          1.168	20176448205.104	     142043.825	250038960421.955	   72438583.603
          1.203	25199078618.570	     158742.177	285530302555.651	   79970731.049
          1.239	39752735819.496	     199380.881	412920762474.962	  110614731.383
          1.274	38213504548.100	     195482.747	364764663106.727	   93105138.188
          1.309	109604225045.924	     331065.288	963662816447.474	  100953184.873
          1.345	69850144730.387	     264291.780	566916511347.663	  108985463.426
          1.380	42519166760.235	     206201.762	319222237185.591	  117655889.300
          1.416	38754730123.916	     196862.211	269678672567.748	  126659124.121
          1.451	33404593356.822	     182769.235	215852031949.652	  136485869.301
          1.486	31709245079.900	     178070.899	190607169815.814	  146760628.797
          1.522	28223560353.032	     167998.692	158092624097.154	  157518750.116
          1.557	26396437342.150	     162469.804	138005456089.641	  168724341.302
          1.593	28922376122.697	     170065.799	141352968829.161	  180476727.023
          1.628	39950027791.733	     199875.030	182789671427.948	  192796687.318
          1.663	62566309506.542	     250132.584	268382751278.052	  206138115.779
          1.699	81720921534.786	     285868.714	329091580181.591	  220551776.868
          1.734	236728050583.340	     486547.069	896124432027.561	  271392285.536
          1.769	258197540198.903	     508131.420	919916795833.637	  268046660.050
          1.805	101705184367.100	     318912.503	341459077717.737	  262446050.168

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
