k_modes	delta	sqrt_delta	power	noise
          0.062	     486599.526	        697.567	40435854533.162	      38079.064
          0.142	    1989898.287	       1410.638	13847053335.376	     211472.319
          0.177	    1001835.974	       1000.918	 3569382337.288	     387185.228
          0.212	    1690013.647	       1300.005	 3484519675.555	     615580.844
          0.248	    2539954.652	       1593.724	 3297906233.082	     791042.116
          0.283	    1885324.745	       1373.071	 1639920018.904	    1137533.175
          0.319	    3513039.086	       1874.310	 2146148992.948	    1589826.142
          0.354	    9542439.657	       3089.084	 4249756455.708	    2168312.870
          0.389	  268751664.682	      16393.647	89924471664.812	    2862370.529
          0.425	 5761343501.167	      75903.514	1484858119197.325	    3694781.723
          0.460	 2940343200.848	      54224.932	596036715290.537	    4680788.202
          0.495	  289238305.296	      17007.008	46943649240.257	    5827257.848
          0.531	  138127771.868	      11752.777	18226885388.141	    7148286.454
          0.566	   59126634.609	       7689.385	 6428779388.943	    8667406.133
          0.602	   22077868.404	       4698.709	 2001316399.812	   10364427.314
          0.637	   27986298.751	       5290.208	 2137142046.045	   12305968.829
          0.672	   35231188.994	       5935.587	 2287557341.693	   14563824.766
          0.708	   68736355.912	       8290.739	 3826502994.213	   18126991.699
          0.743	  120744745.921	      10988.391	 5806520210.239	   22863204.620
          0.779	  357622784.941	      18910.917	14957629186.755	   22155793.603
          0.814	 1980458416.570	      44502.342	72491632549.042	   25315532.418
          0.849	24623359446.215	     156918.321	793266790967.965	   28663132.130
          0.885	68360554447.283	     261458.514	1948459014508.947	   32250020.366
          0.920	11470222271.009	     107099.124	290640970248.523	   36097873.272
          0.956	 5274514386.677	      72625.852	119342817321.895	   40217938.050
          0.991	 3255373424.134	      57055.880	66043971370.488	   44662475.846
          1.026	 1345245153.520	      36677.584	24564873834.339	   49508615.434
          1.062	  597364198.657	      24441.035	 9853304121.165	   54601493.902
          1.097	  405754300.327	      20143.344	 6065741758.367	   60113315.169
          1.132	  272466462.704	      16506.558	 3703125484.827	   66126173.219
          1.168	  451966181.430	      21259.496	 5601043008.251	   72438583.603
          1.203	 1230984390.363	      35085.387	13948261789.331	   79970731.049
          1.239	 5674777938.800	      75331.122	58945216852.631	  110614731.383
          1.274	10694093630.945	     103412.251	102079814627.144	   93105138.188
          1.309	80946673715.605	     284511.289	711699750097.689	  100953184.873
          1.345	44821133142.931	     211710.021	363776489427.737	  108985463.426
          1.380	12762194700.767	     112969.884	95815055989.927	  117655889.300
          1.416	 8671631242.463	      93121.594	60342414848.128	  126659124.121
          1.451	 5280042962.791	      72663.904	34118301939.071	  136485869.301
          1.486	 3416482842.432	      58450.687	20536790569.416	  146760628.797
          1.522	 2119494561.526	      46037.969	11872224935.481	  157518750.116
          1.557	 1249129259.493	      35343.023	 6530678778.231	  168724341.302
          1.593	 1950071809.896	      44159.617	 9530629108.393	  180476727.023
          1.628	 4500748158.931	      67087.616	20592983850.717	  192796687.318
          1.663	 9711920338.181	      98549.076	41659991153.573	  206138115.779
          1.699	26084705246.575	     161507.601	105043564205.431	  220551776.868
          1.734	186176608778.490	     431481.875	704763999818.886	  271392285.536
          1.769	207003408062.147	     454976.272	737520240217.930	  268046660.050
          1.805	47833626171.106	     218708.999	160593837747.021	  262446050.168

"# {
    "cosmology": {
        "class": "LambdaCDM",
        "H0": 70.4,
        "Om0": 0.272,
        "Ode0": 0.682,
        "Ob0": 0.046
    },
    "central_wavelength": 1.6436440582252803,
    "DM": 6085.807304474406,
    "DH": 3000,
    "bandwidth": 30720000.0,
    "redshift": 6.787525710945736,
    "n_chan_orig": 384,
    "n_chan": 384,
    "Ez": 11.486145477245817,
    "decoherence_factor": 2.15,
    "wedge_factor": 2.992070080634513,
    "normalisation": 416315232.44484967
}"
