ant	tile_id	tile_name	electrical_length_m	east_m	north_m	height_m	flagged
0	11	Tile011	-656.14	-149.78500366210938	265.8139953613281	377.010986328125	False
1	12	Tile012	-655.66	-95.36499786376953	270.18798828125	377.2850036621094	False
2	13	Tile013	-582.91	-88.51200103759766	266.02099609375	377.3089904785156	False
3	14	Tile014	-583.0	-78.697998046875	258.4309997558594	377.2909851074219	False
4	15	Tile015	-583.02	-86.94000244140625	248.45199584960938	377.3389892578125	False
5	16	Tile016	-656.34	-102.32499694824219	244.08799743652344	377.25799560546875	False
6	17	Tile017	-583.32	-93.34600067138672	242.2790069580078	377.2699890136719	False
7	18	Tile018	-655.39	-148.3300018310547	220.27099609375	377.2139892578125	False
8	21	Tile021	-667.01	-132.93899536132812	282.6109924316406	377.00201416015625	False
9	22	Tile022	-667.52	-139.86700439453125	275.49798583984375	377.01800537109375	False
10	23	Tile023	-666.11	-123.66699981689453	284.85400390625	377.04998779296875	False
11	24	Tile024	-593.6	-92.88899993896484	281.3580017089844	377.2539978027344	False
12	25	Tile025	-593.87	-77.83499908447266	282.8389892578125	377.25299072265625	False
13	26	Tile026	-594.23	-83.47599792480469	277.56298828125	377.29998779296875	False
14	27	Tile027	-593.76	-76.98799896240234	272.6369934082031	377.2980041503906	False
15	28	Tile028	-666.7	-176.00599670410156	289.90301513671875	376.62298583984375	False
16	31	Tile031	-288.35	-23.6200008392334	201.54600524902344	376.80499267578125	False
17	32	Tile032	-288.76	-23.802000045776367	222.35299682617188	376.87200927734375	False
18	33	Tile033	-287.79	-40.48899841308594	235.1699981689453	376.96099853515625	False
19	34	Tile034	-215.98	-54.527000427246094	237.51800537109375	377.12298583984375	False
20	35	Tile035	-215.97	-64.85099792480469	250.81300354003906	377.239013671875	False
21	36	Tile036	-215.4	-70.07499694824219	259.4020080566406	377.2659912109375	False
22	37	Tile037	-215.29	-60.05699920654297	263.6759948730469	377.17999267578125	False
23	38	Tile038	-215.34	-50.67599868774414	264.5459899902344	377.1000061035156	False
24	41	Tile041	-214.26	-67.98999786376953	271.1029968261719	377.2359924316406	False
25	42	Tile042	-214.52	-60.05799865722656	271.9049987792969	377.2040100097656	False
26	43	Tile043	-214.25	-70.88500213623047	278.8179931640625	377.25201416015625	False
27	44	Tile044	-214.35	-45.540000915527344	273.2449951171875	377.0660095214844	False
28	45	Tile045	-215.48	-53.15599822998047	276.26800537109375	377.0899963378906	False
29	46	Tile046	-287.51	-22.659000396728516	263.6940002441406	376.947998046875	False
30	47	Tile047	-214.48	-55.09700012207031	284.2850036621094	377.1809997558594	False
31	48	Tile048	-286.78	-14.899999618530273	273.8699951171875	376.9100036621094	False
32	51	Tile051	-287.05	-55.560001373291016	124.8010025024414	376.8030090332031	False
33	52	Tile052	75.6	177.4669952392578	-43.37699890136719	375.0050048828125	False
34	53	Tile053	-287.15	-21.709999084472656	77.00499725341797	376.35101318359375	False
35	54	Tile054	-17.97	91.80899810791016	-80.56500244140625	375.760009765625	False
36	55	Tile055	220.7	153.6999969482422	-259.9289855957031	376.47601318359375	False
37	56	Tile056	-117.85	-67.58200073242188	-22.361000061035156	376.17498779296875	False
38	57	Tile057	-117.6	-118.03700256347656	-39.87300109863281	376.0539855957031	False
39	58	Tile058	-287.14	-87.51599884033203	125.1969985961914	377.031005859375	False
40	61	Tile061	-213.19	-105.28099822998047	217.17999267578125	377.2550048828125	False
41	62	Tile062	-212.86	-98.52999877929688	230.16200256347656	377.260009765625	False
42	63	Tile063	-212.31	-81.84500122070312	229.33700561523438	377.2699890136719	False
43	64	Tile064	-212.49	-79.54100036621094	238.1280059814453	377.2699890136719	False
44	65	Tile065	-117.36	-75.12000274658203	247.0019989013672	377.2550048828125	False
45	66	Tile066	-212.34	-71.01699829101562	235.9290008544922	377.239013671875	False
46	67	Tile067	-212.6	-62.56700134277344	228.98699951171875	377.2099914550781	False
47	68	Tile068	-212.55	-50.691001892089844	221.88499450683594	377.0780029296875	False
48	71	Tile071	-1097.16	-195.97999572753906	189.7949981689453	377.1610107421875	False
49	72	Tile072	-1096.0	-198.19400024414062	95.1500015258789	377.02398681640625	False
50	73	Tile073	-757.72	-284.4570007324219	-196.18099975585938	374.9010009765625	False
51	74	Tile074	-1096.75	-388.1520080566406	-44.02199935913086	375.37200927734375	False
52	75	Tile075	-1096.79	-452.6860046386719	-15.932999610900879	375.1109924316406	False
53	76	Tile076	-1096.26	-468.8169860839844	185.18699645996094	374.75201416015625	False
54	77	Tile077	-1266.7	-364.52398681640625	183.09800720214844	375.739013671875	False
55	78	Tile078	-1192.71	-369.6080017089844	266.4840087890625	375.239990234375	False
56	81	Tile081	-481.45	-160.46499633789062	573.2069702148438	374.77301025390625	False
57	82	Tile082	-577.51	-128.04600524902344	350.4939880371094	376.57000732421875	False
58	83	Tile083	-481.56	-69.77100372314453	294.031005859375	377.1919860839844	False
59	84	Tile084	-479.65	-78.73100280761719	297.2590026855469	377.1960144042969	False
60	85	Tile085	-481.51	-103.94100189208984	300.91400146484375	377.04998779296875	False
61	86	Tile086	-481.5	-100.1719970703125	288.89599609375	377.1570129394531	False
62	87	Tile087	-480.85	-395.4519958496094	371.1520080566406	374.5150146484375	False
63	88	Tile088	-649.84	-263.5469970703125	389.27398681640625	375.3219909667969	False
64	91	Tile091	-398.6	326.1409912109375	203.60800170898438	373.94500732421875	False
65	92	Tile092	-497.18	173.4250030517578	193.59500122070312	375.0320129394531	False
66	93	Tile093	-593.79	-2.515000104904175	292.84100341796875	376.8919982910156	False
67	94	Tile094	-497.08	-46.55400085449219	287.468994140625	377.114990234375	False
68	95	Tile095	-497.36	-56.14099884033203	295.9219970703125	377.156005859375	False
69	96	Tile096	-497.59	-33.70500183105469	351.0480041503906	376.97601318359375	False
70	97	Tile097	-497.7	50.12699890136719	536.1589965820312	376.1809997558594	False
71	98	Tile098	-497.4	84.87999725341797	519.1409912109375	376.3139953613281	False
72	101	Tile101	-903.11	-518.0460205078125	632.5029907226562	372.60400390625	False
73	102	Tile102	-900.98	-489.9429931640625	604.5679931640625	372.9070129394531	False
74	103	Tile103	-1191.96	-575.5570068359375	415.00799560546875	373.3739929199219	False
75	104	Tile104	-756.49	-585.6749877929688	-101.52999877929688	375.2120056152344	False
76	105	Tile105	-1095.55	-653.4669799804688	142.2550048828125	374.4620056152344	False
77	106	Tile106	-1192.31	-685.0269775390625	212.16799926757812	374.2359924316406	False
78	107	Tile107	-756.95	-1079.5999755859375	87.01799774169922	377.0090026855469	False
79	108	Tile108	-757.49	-1026.0699462890625	574.5269775390625	374.03900146484375	False
