gpubox_number	rec_chan_number	chan_start_hz	chan_centre_hz	chan_end_hz
24	133	169600000	170240000	170880000
23	134	170880000	171520000	172160000
22	135	172160000	172800000	173440000
21	136	173440000	174080000	174720000
20	137	174720000	175360000	176000000
19	138	176000000	176640000	177280000
18	139	177280000	177920000	178560000
17	140	178560000	179200000	179840000
16	141	179840000	180480000	181120000
15	142	181120000	181760000	182400000
14	143	182400000	183040000	183680000
13	144	183680000	184320000	184960000
12	145	184960000	185600000	186240000
11	146	186240000	186880000	187520000
10	147	187520000	188160000	188800000
9	148	188800000	189440000	190080000
8	149	190080000	190720000	191360000
7	150	191360000	192000000	192640000
6	151	192640000	193280000	193920000
5	152	193920000	194560000	195200000
4	153	195200000	195840000	196480000
3	154	196480000	197120000	197760000
2	155	197760000	198400000	199040000
1	156	199040000	199680000	200320000
