ant	tile_id	tile_name	electrical_length_m	east_m	north_m	height_m	flagged	rec_number	flavour	has_whitening_filter	rec_type
0	31	Tile031	-499.130	 -23.620	+201.546	+376.805	False	4	RG6_230	True	RRI
1	32	Tile032	-498.930	 -23.802	+222.353	+376.872	False	4	RG6_230	True	RRI
2	33	Tile033	-595.630	 -40.489	+235.170	+376.961	False	4	RG6_150	True	RRI
3	34	Tile034	-596.380	 -54.527	+237.518	+377.123	False	4	RG6_150	True	RRI
4	35	Tile035	-596.330	 -64.851	+250.813	+377.239	False	4	RG6_150	True	RRI
5	36	Tile036	-595.630	 -70.075	+259.402	+377.266	False	4	RG6_150	True	RRI
6	37	Tile037	-598.630	 -60.057	+263.676	+377.180	False	4	RG6_150	True	RRI
7	38	Tile038	-595.630	 -50.676	+264.546	+377.100	False	4	RG6_150	True	RRI
8	51	Tile051	-283.930	 -55.560	+124.801	+376.803	False	5	RG6_90	False	RRI
9	52	Tile052	 +78.720	+177.467	 -43.377	+375.005	False	5	LMR400_400	True	RRI
10	53	Tile053	-284.030	 -21.710	 +77.005	+376.351	False	5	RG6_90	False	RRI
11	54	Tile054	 -14.850	 +91.809	 -80.565	+375.760	False	5	LMR400_320	True	RRI
12	55	Tile055	+223.820	+153.700	-259.929	+376.476	False	5	LMR400_524	True	RRI
13	56	Tile056	-114.730	 -67.582	 -22.361	+376.175	False	5	RG6_230	True	RRI
14	57	Tile057	-114.480	-118.037	 -39.873	+376.054	False	5	RG6_230	True	RRI
15	58	Tile058	-284.020	 -87.516	+125.197	+377.031	False	5	RG6_90	False	RRI
16	71	Tile071	-1094.790	-195.980	+189.795	+377.161	False	7	RG6_230	True	RRI
17	72	Tile072	-1093.630	-198.194	 +95.150	+377.024	False	7	RG6_230	True	RRI
18	73	Tile073	-755.350	-284.457	-196.181	+374.901	False	7	LMR400_524	True	RRI
19	74	Tile074	-1106.670	-388.152	 -44.022	+375.372	False	7	RG6_230	True	RRI
20	75	Tile075	-1094.420	-452.686	 -15.933	+375.111	False	7	RG6_230	True	RRI
21	76	Tile076	-1093.890	-468.817	+185.187	+374.752	False	7	RG6_230	True	RRI
22	77	Tile077	-1264.330	-364.524	+183.098	+375.739	False	7	RG6_90	False	RRI
23	78	Tile078	-1190.340	-369.608	+266.484	+375.240	False	7	RG6_150	True	RRI
24	101	Tile101	-898.660	-518.046	+632.503	+372.604	False	10	LMR400_400	True	RRI
25	102	Tile102	-896.530	-489.943	+604.568	+372.907	False	10	LMR400_400	True	RRI
26	103	Tile103	-1187.510	-575.557	+415.008	+373.374	False	10	RG6_150	True	RRI
27	104	Tile104	-752.040	-585.675	-101.530	+375.212	False	10	LMR400_524	True	RRI
28	105	Tile105	-1091.100	-653.467	+142.255	+374.462	False	10	RG6_230	True	RRI
29	106	Tile106	-1187.860	-685.027	+212.168	+374.236	False	10	RG6_150	True	RRI
30	107	Tile107	-752.500	-1079.598	 +87.018	+377.009	False	10	LMR400_524	True	RRI
31	108	Tile108	-753.040	-1026.074	+574.527	+374.039	False	10	LMR400_524	True	RRI
32	111	Tile111	-1432.380	-333.758	+1660.732	+371.068	True	11	LMR400_524	True	RRI
33	112	Tile112	-1578.020	-227.151	+898.129	+373.694	False	11	LMR400_400	True	RRI
34	113	Tile113	-1431.310	-173.717	+781.638	+374.217	False	11	LMR400_524	True	RRI
35	114	Tile114	-1578.370	-256.952	+892.005	+373.492	False	11	LMR400_400	True	RRI
36	115	Tile115	-1435.080	-195.018	+762.893	+374.093	False	11	LMR400_524	True	RRI
37	116	Tile116	-1432.640	-249.647	+731.709	+373.797	False	11	LMR400_524	True	RRI
38	117	Tile117	-1433.200	-300.696	+704.326	+373.514	False	11	LMR400_524	True	RRI
39	118	Tile118	-1432.450	-889.471	+1088.136	+370.381	False	11	LMR400_524	True	RRI
40	121	Tile121	-1439.500	+716.393	+1405.255	+374.602	False	12	LMR400_524	True	RRI
41	122	Tile122	-1438.340	+288.066	+618.265	+375.134	False	12	LMR400_524	True	RRI
42	123	Tile123	-1582.490	+238.310	+768.413	+375.805	False	12	LMR400_400	True	RRI
43	124	Tile124	-1677.600	+227.878	+819.724	+375.748	False	12	LMR400_320	True	RRI
44	125	Tile125	-1439.200	 +61.443	+815.255	+376.001	False	12	LMR400_524	True	RRI
45	126	Tile126	-1438.240	 -58.874	+810.530	+375.170	True	12	LMR400_524	True	RRI
46	127	Tile127	-1582.150	 +35.224	+950.242	+376.275	False	12	LMR400_400	True	RRI
47	128	Tile128	-1437.900	  +1.015	+1412.363	+373.682	True	12	LMR400_524	True	RRI
48	131	Tile131	-1445.700	+839.943	+990.227	+372.696	False	2	LMR400_524	True	RRI
49	132	Tile132	-1444.350	+1177.294	+858.632	+372.122	True	2	LMR400_524	True	RRI
50	133	Tile133	-1451.160	+1313.611	+553.372	+370.354	False	2	LMR400_524	True	RRI
51	134	Tile134	-1590.340	+556.122	+244.485	+372.284	False	2	LMR400_400	True	RRI
52	135	Tile135	-1683.690	+571.541	+359.210	+372.509	False	2	LMR400_320	True	RRI
53	136	Tile136	-1590.490	+488.857	+424.980	+372.967	False	2	LMR400_400	True	RRI
54	137	Tile137	-1683.980	+528.598	+539.194	+372.789	False	2	LMR400_320	True	RRI
55	138	Tile138	-1451.540	+381.069	+652.864	+374.251	False	2	LMR400_524	True	RRI
56	141	Tile141	-1432.150	+1100.945	+151.760	+369.065	False	6	LMR400_524	True	RRI
57	142	Tile142	-1431.770	+1201.132	-443.250	+368.328	False	6	LMR400_524	True	RRI
58	143	Tile143	-1671.080	+498.629	-264.594	+373.220	False	6	LMR400_320	True	RRI
59	144	Tile144	-1431.100	+301.193	 -48.952	+374.618	False	6	LMR400_524	True	RRI
60	145	Tile145	-1431.820	+370.648	 -38.415	+374.340	False	6	LMR400_524	True	RRI
61	146	Tile146	-1671.980	+544.324	 -91.152	+372.812	False	6	LMR400_320	True	RRI
62	147	Tile147	-1576.240	+506.793	  -3.216	+372.803	False	6	LMR400_400	True	RRI
63	148	Tile148	-1576.230	+523.727	 +75.494	+372.613	False	6	LMR400_400	True	RRI
64	151	Tile151	-759.650	+653.774	-1037.748	+371.071	False	15	LMR400_524	True	RRI
65	152	Tile152	-1095.440	+442.990	-835.306	+372.251	False	15	RG6_230	True	RRI
66	153	Tile153	-761.520	 -58.801	-505.332	+372.913	False	15	LMR400_524	True	RRI
67	154	Tile154	-756.830	 +37.065	-405.050	+374.034	False	15	LMR400_524	True	RRI
68	155	Tile155	-902.500	+232.842	-357.891	+375.262	False	15	LMR400_400	True	RRI
69	156	Tile156	-902.300	+257.984	-366.453	+375.221	False	15	LMR400_400	True	RRI
70	157	Tile157	-902.160	+325.688	-318.508	+375.029	False	15	LMR400_400	True	RRI
71	158	Tile158	-899.300	+326.101	-306.307	+375.128	False	15	LMR400_400	True	RRI
72	161	Tile161	-1268.810	-412.457	-409.060	+373.969	False	16	RG6_90	False	RRI
73	162	Tile162	-1115.380	-141.898	-420.261	+373.503	False	16	RG6_230	True	RRI
74	163	Tile163	-761.590	-480.270	-817.324	+375.720	False	16	LMR400_524	True	RRI
75	164	Tile164	-760.820	-575.533	-863.782	+375.522	False	16	LMR400_524	True	RRI
76	165	Tile165	-762.940	-674.021	-638.871	+375.340	False	16	LMR400_524	True	RRI
77	166	Tile166	-908.210	-631.403	-245.107	+375.544	False	16	LMR400_400	True	RRI
78	167	Tile167	-906.570	-633.237	-169.362	+375.616	False	16	LMR400_400	True	RRI
79	168	Tile168	-1000.770	-568.540	-257.660	+375.246	False	16	LMR400_320	True	RRI
80	2001	LBA1	-497.680	-1999.810	+206.850	+372.920	False	1	RFOF-3000	False	RRI
81	2002	LBA2	-496.780	-1770.140	 +53.590	+374.440	False	1	RFOF-3000	False	RRI
82	2003	LBA3	-994.630	-1600.210	 -64.260	+375.540	False	1	RFOF-3000	False	RRI
83	2004	LBA4	-993.830	-1473.170	-194.320	+376.220	False	1	RFOF-3000	False	RRI
84	2005	LBA5	-992.630	-1367.270	-453.650	+374.910	False	1	RFOF-3000	False	RRI
85	2006	LBA6	-991.730	-1172.920	-569.740	+374.770	False	1	RFOF-3000	False	RRI
86	2007	LBA7	-992.630	-1100.970	-698.660	+374.120	False	1	RFOF-3000	False	RRI
87	2008	LBA8	-498.180	-889.290	-779.730	+374.410	True	1	RFOF-3000	False	RRI
88	2009	LBB1	-1222.400	-829.330	+2563.460	+369.520	True	8	RFOF-3000	False	RRI
89	2010	LBB2	-1722.350	-330.610	+2829.620	+373.370	False	8	RFOF-3000	False	RRI
90	2011	LBB3	-1226.900	-455.360	+2039.450	+370.950	False	8	RFOF-3000	False	RRI
91	2012	LBB4	-1722.350	-175.090	+2644.300	+373.960	False	8	RFOF-3000	False	RRI
92	2013	LBB5	-1722.350	 -52.550	+2142.930	+373.190	False	8	RFOF-3000	False	RRI
93	2014	LBB6	-1226.150	+776.550	+2535.700	+377.700	False	8	RFOF-3000	False	RRI
94	2015	LBB7	-1227.000	+520.820	+2352.170	+376.350	False	8	RFOF-3000	False	RRI
95	2016	LBB8	-1228.100	+327.910	+1962.280	+374.380	False	8	RFOF-3000	False	RRI
96	2017	LBC1	-652.010	+363.950	+1536.780	+374.630	False	14	RFOF-3000	False	RRI
97	2018	LBC2	-1147.260	+875.570	+2181.300	+377.050	False	14	RFOF-3000	False	RRI
98	2019	LBC3	-1147.260	+879.780	+1687.730	+376.530	False	14	RFOF-3000	False	RRI
99	2020	LBC4	-651.410	+1360.970	+2458.850	+380.610	False	14	RFOF-3000	False	RRI
100	2021	LBC5	-654.060	+1683.510	+2153.350	+380.990	False	14	RFOF-3000	False	RRI
101	2022	LBC6	-1147.260	+1371.370	+1863.800	+378.970	False	14	RFOF-3000	False	RRI
102	2023	LBC7	-651.310	+1631.270	+1497.800	+376.740	False	14	RFOF-3000	False	RRI
103	2024	LBC8	-1147.260	+1224.700	+1387.350	+376.460	True	14	RFOF-3000	False	RRI
104	2025	LBD1	-338.970	+1907.590	+1247.360	+375.330	False	9	RFOF-3000	False	RRI
105	2026	LBD2	-833.770	+2054.930	+1775.430	+378.580	False	9	RFOF-3000	False	RRI
106	2027	LBD3	-336.570	+2400.040	+2214.240	+380.840	False	9	RFOF-3000	False	RRI
107	2028	LBD4	-834.070	+2441.550	+1785.700	+377.350	False	9	RFOF-3000	False	RRI
108	2029	LBD5	-834.820	+2346.290	+1367.780	+375.660	True	9	RFOF-3000	False	RRI
109	2030	LBD6	-835.270	+2770.820	+1905.800	+378.430	False	9	RFOF-3000	False	RRI
110	2031	LBD7	-339.070	+3105.640	+1640.330	+376.800	False	9	RFOF-3000	False	RRI
111	2032	LBD8	-834.320	+2872.280	+1455.110	+376.450	False	9	RFOF-3000	False	RRI
112	2033	LBE1	-627.970	+1654.370	+845.050	+372.220	True	13	RFOF-3000	False	RRI
113	2034	LBE2	-1124.520	+1994.470	+629.740	+373.700	False	13	RFOF-3000	False	RRI
114	2035	LBE3	-1119.920	+2327.420	+1026.380	+374.520	False	13	RFOF-3000	False	RRI
115	2036	LBE4	-1124.520	+2238.170	+408.810	+371.500	False	13	RFOF-3000	False	RRI
116	2037	LBE5	-1126.220	+2698.580	+931.590	+373.230	False	13	RFOF-3000	False	RRI
117	2038	LBE6	-1121.370	+2670.330	+572.920	+371.790	False	13	RFOF-3000	False	RRI
118	2039	LBE7	-628.320	+2405.670	 +23.610	+369.350	True	13	RFOF-3000	False	RRI
119	2040	LBE8	-624.570	+3029.460	+1095.290	+373.690	True	13	RFOF-3000	False	RRI
120	2041	LBF1	-879.490	+803.010	-812.850	+371.040	True	3	RFOF-3000	False	RRI
121	2042	LBF2	-877.040	+1471.780	+179.530	+369.240	True	3	RFOF-3000	False	RRI
122	2043	LBF3	-1370.300	+1177.920	-691.740	+368.310	False	3	RFOF-3000	False	RRI
123	2044	LBF4	-1374.690	+1677.270	-478.330	+366.650	False	3	RFOF-3000	False	RRI
124	2045	LBF5	-1374.690	+1559.380	-932.270	+367.410	False	3	RFOF-3000	False	RRI
125	2046	LBF6	-1371.090	+1881.270	-106.660	+368.260	False	3	RFOF-3000	False	RRI
126	2047	LBF7	-876.340	+2285.480	-251.750	+367.950	False	3	RFOF-3000	False	RRI
127	2048	LBF8	-876.340	+1991.310	-940.610	+365.150	False	3	RFOF-3000	False	RRI
128	2049	LBG1	-1309.840	+165.760	-991.570	+370.300	False	17	RFOF-NI	False	NI
129	2050	LBG2	-1802.840	+511.310	-1486.980	+368.750	False	17	RFOF-NI	False	NI
130	2051	LBG3	-1307.240	+338.490	-2065.830	+365.990	False	17	RFOF-NI	False	NI
131	2052	LBG4	-1805.790	+805.810	-1408.620	+367.880	False	17	RFOF-NI	False	NI
132	2053	LBG5	-1806.990	+1105.720	-1139.390	+370.540	False	17	RFOF-NI	False	NI
133	2054	LBG6	-1802.240	+931.990	-1975.870	+365.390	False	17	RFOF-NI	False	NI
134	2055	LBG7	-1306.790	+1336.340	-1867.290	+366.170	True	17	RFOF-NI	False	NI
135	2056	LBG8	-1308.140	+1664.290	-1355.780	+365.880	False	17	RFOF-NI	False	NI
